geo_level,id,insurance_type,source,year,percent25,percent50,percent75
AR,LT313,Medicare,CMS,2020,25.6,34.92,59.2
AR,LT315,Medicare,CMS,2020,15.2,23.28,38.4
AR,LT403,Medicare,CMS,2020,73.6,102.82,182.4
AR,LT503,Medicare,CMS,2020,15.2,24.25,41.6
AR,OV116,Medicare,CMS,2020,56.0,81.48,147.2
AR,OV307,Medicare,CMS,2020,36.8,52.38,89.6
AR,OV521,Medicare,CMS,2020,467.2,605.28,1043.2
AZ,ES001,Medicare,CMS,2020,688.0,1079.61,2457.6
AZ,IM104,Medicare,CMS,2020,273.6,415.16,1881.6
AZ,IM211,Medicare,CMS,2020,806.4,1182.43,2558.4
AZ,IM403,Medicare,CMS,2020,101.6,128.04,236.8
AZ,IM407,Medicare,CMS,2020,87.2,119.31,240.0
AZ,IM601,Medicare,CMS,2020,25.6,35.89,70.4
AZ,IM606,Medicare,CMS,2020,29.6,42.68,84.8
AZ,IM616,Medicare,CMS,2020,23.2,35.89,73.6
AZ,IM627,Medicare,CMS,2020,32.8,49.47,96.0
AZ,LT105,Medicare,CMS,2020,5.6,8.73,14.4
AZ,LT106,Medicare,CMS,2020,6.4,8.73,16.0
AZ,LT211,Medicare,CMS,2020,1.6,1.94,3.2
AZ,LT213,Medicare,CMS,2020,3.2,4.85,8.0
AZ,LT219,Medicare,CMS,2020,5.6,6.79,11.2
AZ,LT313,Medicare,CMS,2020,12.8,19.4,35.2
AZ,LT315,Medicare,CMS,2020,9.6,13.58,24.0
AZ,LT403,Medicare,CMS,2020,64.0,81.48,160.0
AZ,LT503,Medicare,CMS,2020,14.4,17.46,28.8
AZ,OV116,Medicare,CMS,2020,51.2,64.02,128.0
AZ,OV307,Medicare,CMS,2020,29.6,38.8,73.6
AZ,OV411,Medicare,CMS,2020,116.8,144.53,307.2
AZ,OV412,Medicare,CMS,2020,116.8,144.53,307.2
AZ,OV521,Medicare,CMS,2020,402.4,541.26,1044.8
AZ,PX207,Medicare,CMS,2020,3582.4,5792.84,13099.2
CA,ES001,Medicare,CMS,2020,1016.8,1799.35,4200.0
CA,IM104,Medicare,CMS,2020,488.8,1039.84,2723.2
CA,IM211,Medicare,CMS,2020,1032.8,3088.48,7932.8
CA,IM403,Medicare,CMS,2020,109.6,146.47,342.4
CA,IM407,Medicare,CMS,2020,97.6,128.04,342.4
CA,IM601,Medicare,CMS,2020,26.4,34.92,75.2
CA,IM606,Medicare,CMS,2020,30.4,41.71,84.8
CA,IM616,Medicare,CMS,2020,23.2,31.04,62.4
CA,IM627,Medicare,CMS,2020,35.2,47.53,100.8
CA,LT105,Medicare,CMS,2020,5.6,8.73,19.2
CA,LT106,Medicare,CMS,2020,6.4,8.73,19.2
CA,LT211,Medicare,CMS,2020,1.6,1.94,4.8
CA,LT213,Medicare,CMS,2020,2.4,2.91,6.4
CA,LT219,Medicare,CMS,2020,6.4,7.76,16.0
CA,LT313,Medicare,CMS,2020,16.0,22.31,52.8
CA,LT315,Medicare,CMS,2020,9.6,13.58,32.0
CA,LT403,Medicare,CMS,2020,76.0,105.73,212.8
CA,LT503,Medicare,CMS,2020,10.4,12.61,35.2
CA,OV116,Medicare,CMS,2020,59.2,78.57,163.2
CA,OV307,Medicare,CMS,2020,32.0,44.62,83.2
CA,OV411,Medicare,CMS,2020,119.2,165.87,400.0
CA,OV412,Medicare,CMS,2020,119.2,165.87,400.0
CA,OV521,Medicare,CMS,2020,424.8,585.88,1104.0
CA,PX207,Medicare,CMS,2020,5415.2,9883.33,22161.6
CO,ES001,Medicare,CMS,2020,740.0,1468.58,3612.8
CO,IM104,Medicare,CMS,2020,445.6,887.55,2136.0
CO,IM403,Medicare,CMS,2020,140.0,207.58,398.4
CO,IM407,Medicare,CMS,2020,124.0,199.82,352.0
CO,IM601,Medicare,CMS,2020,28.0,41.71,86.4
CO,IM606,Medicare,CMS,2020,37.6,54.32,107.2
CO,IM616,Medicare,CMS,2020,30.4,40.74,97.6
CO,IM627,Medicare,CMS,2020,44.0,62.08,118.4
CO,LT105,Medicare,CMS,2020,4.8,6.79,12.8
CO,LT106,Medicare,CMS,2020,5.6,7.76,14.4
CO,LT211,Medicare,CMS,2020,1.6,1.94,6.4
CO,LT213,Medicare,CMS,2020,2.4,4.85,9.6
CO,LT219,Medicare,CMS,2020,4.8,6.79,12.8
CO,LT313,Medicare,CMS,2020,16.0,19.4,36.8
CO,LT315,Medicare,CMS,2020,9.6,11.64,30.4
CO,LT403,Medicare,CMS,2020,79.2,107.67,216.0
CO,OV116,Medicare,CMS,2020,62.4,84.39,171.2
CO,OV307,Medicare,CMS,2020,37.6,50.44,97.6
CO,OV411,Medicare,CMS,2020,161.6,233.77,475.2
CO,OV412,Medicare,CMS,2020,161.6,233.77,475.2
CO,OV521,Medicare,CMS,2020,450.4,609.16,1129.6
CO,PX207,Medicare,CMS,2020,4375.2,9764.99,22768.0
CT,ES001,Medicare,CMS,2020,1026.4,1494.77,3318.4
CT,IM104,Medicare,CMS,2020,220.8,360.84,1054.4
CT,IM211,Medicare,CMS,2020,728.8,1082.52,3028.8
CT,IM403,Medicare,CMS,2020,148.0,236.68,481.6
CT,IM407,Medicare,CMS,2020,133.6,196.91,392.0
CT,IM601,Medicare,CMS,2020,32.8,40.74,91.2
CT,IM606,Medicare,CMS,2020,34.4,62.08,124.8
CT,IM616,Medicare,CMS,2020,36.8,57.23,97.6
CT,IM627,Medicare,CMS,2020,40.0,72.75,145.6
CT,LT105,Medicare,CMS,2020,5.6,7.76,14.4
CT,LT106,Medicare,CMS,2020,6.4,8.73,19.2
CT,LT211,Medicare,CMS,2020,1.6,2.91,6.4
CT,LT213,Medicare,CMS,2020,2.4,3.88,9.6
CT,LT219,Medicare,CMS,2020,7.2,9.7,19.2
CT,LT313,Medicare,CMS,2020,16.0,22.31,48.0
CT,LT315,Medicare,CMS,2020,10.4,13.58,28.8
CT,LT403,Medicare,CMS,2020,85.6,124.16,256.0
CT,OV116,Medicare,CMS,2020,66.4,85.36,166.4
CT,OV307,Medicare,CMS,2020,42.4,52.38,107.2
CT,OV411,Medicare,CMS,2020,196.0,270.63,486.4
CT,OV412,Medicare,CMS,2020,196.0,270.63,486.4
CT,OV521,Medicare,CMS,2020,469.6,651.84,1188.8
CT,PX207,Medicare,CMS,2020,6321.6,11244.24,23395.2
DE,ES001,Medicare,CMS,2020,637.6,998.13,2131.2
DE,IM104,Medicare,CMS,2020,145.6,481.12,2107.2
DE,IM403,Medicare,CMS,2020,112.8,150.35,265.6
DE,IM601,Medicare,CMS,2020,23.2,33.95,64.0
DE,IM606,Medicare,CMS,2020,28.8,44.62,86.4
DE,IM627,Medicare,CMS,2020,40.0,54.32,110.4
DE,LT211,Medicare,CMS,2020,1.6,1.94,6.4
DE,LT403,Medicare,CMS,2020,60.0,86.33,156.8
DE,OV116,Medicare,CMS,2020,46.4,68.87,126.4
DE,OV307,Medicare,CMS,2020,28.0,37.83,76.8
DE,OV411,Medicare,CMS,2020,113.6,176.54,310.4
DE,OV412,Medicare,CMS,2020,113.6,176.54,310.4
DE,PX207,Medicare,CMS,2020,4537.6,10458.54,31342.4
FL,ES001,Medicare,CMS,2020,1050.4,1714.96,3819.2
FL,IM104,Medicare,CMS,2020,480.8,961.27,2729.6
FL,IM211,Medicare,CMS,2020,770.4,1142.66,3403.2
FL,IM403,Medicare,CMS,2020,96.0,140.65,337.6
FL,IM407,Medicare,CMS,2020,84.0,166.84,366.4
FL,IM601,Medicare,CMS,2020,20.0,26.19,64.0
FL,IM606,Medicare,CMS,2020,23.2,30.07,73.6
FL,IM616,Medicare,CMS,2020,17.6,22.31,54.4
FL,IM627,Medicare,CMS,2020,26.4,36.86,84.8
FL,LT105,Medicare,CMS,2020,5.6,7.76,16.0
FL,LT106,Medicare,CMS,2020,5.6,8.73,17.6
FL,LT211,Medicare,CMS,2020,1.6,1.94,3.2
FL,LT213,Medicare,CMS,2020,2.4,2.91,6.4
FL,LT219,Medicare,CMS,2020,4.8,6.79,16.0
FL,LT313,Medicare,CMS,2020,14.4,22.31,49.6
FL,LT315,Medicare,CMS,2020,8.8,14.55,32.0
FL,LT403,Medicare,CMS,2020,62.4,86.33,174.4
FL,LT503,Medicare,CMS,2020,10.4,17.46,48.0
FL,OV116,Medicare,CMS,2020,48.8,69.84,140.8
FL,OV307,Medicare,CMS,2020,27.2,37.83,76.8
FL,OV411,Medicare,CMS,2020,142.4,205.64,425.6
FL,OV412,Medicare,CMS,2020,142.4,205.64,425.6
FL,OV521,Medicare,CMS,2020,388.8,507.31,969.6
FL,PX207,Medicare,CMS,2020,4919.2,10883.4,28824.0
GA,ES001,Medicare,CMS,2020,834.4,1438.51,3672.0
GA,IM104,Medicare,CMS,2020,408.8,743.99,1758.4
GA,IM211,Medicare,CMS,2020,907.2,1656.76,4072.0
GA,IM403,Medicare,CMS,2020,129.6,199.82,411.2
GA,IM407,Medicare,CMS,2020,110.4,183.33,444.8
GA,IM601,Medicare,CMS,2020,25.6,37.83,91.2
GA,IM606,Medicare,CMS,2020,32.0,49.47,105.6
GA,IM616,Medicare,CMS,2020,27.2,41.71,92.8
GA,IM627,Medicare,CMS,2020,36.0,56.26,113.6
GA,LT105,Medicare,CMS,2020,5.6,11.64,27.2
GA,LT106,Medicare,CMS,2020,6.4,11.64,27.2
GA,LT211,Medicare,CMS,2020,1.6,2.91,6.4
GA,LT213,Medicare,CMS,2020,3.2,5.82,12.8
GA,LT219,Medicare,CMS,2020,5.6,9.7,27.2
GA,LT313,Medicare,CMS,2020,16.0,31.04,73.6
GA,LT315,Medicare,CMS,2020,11.2,23.28,48.0
GA,LT403,Medicare,CMS,2020,78.4,111.55,243.2
GA,OV116,Medicare,CMS,2020,58.4,80.51,179.2
GA,OV307,Medicare,CMS,2020,34.4,48.5,105.6
GA,OV411,Medicare,CMS,2020,162.4,261.9,537.6
GA,OV412,Medicare,CMS,2020,162.4,261.9,537.6
GA,OV521,Medicare,CMS,2020,444.0,645.05,1308.8
GA,PX207,Medicare,CMS,2020,6544.0,11145.3,25766.4
HI,IM403,Medicare,CMS,2020,152.8,185.27,310.4
HI,IM407,Medicare,CMS,2020,133.6,161.99,267.2
HI,IM601,Medicare,CMS,2020,37.6,45.59,76.8
HI,IM606,Medicare,CMS,2020,36.0,45.59,75.2
HI,IM627,Medicare,CMS,2020,44.0,53.35,88.0
HI,LT105,Medicare,CMS,2020,6.4,8.73,24.0
HI,LT106,Medicare,CMS,2020,6.4,7.76,19.2
HI,LT211,Medicare,CMS,2020,3.2,3.88,6.4
HI,LT213,Medicare,CMS,2020,2.4,3.88,11.2
HI,LT219,Medicare,CMS,2020,7.2,11.64,25.6
HI,LT313,Medicare,CMS,2020,15.2,21.34,52.8
HI,LT315,Medicare,CMS,2020,9.6,12.61,25.6
HI,LT403,Medicare,CMS,2020,87.2,107.67,188.8
HI,OV116,Medicare,CMS,2020,60.0,74.69,134.4
HI,OV307,Medicare,CMS,2020,34.4,44.62,80.0
HI,OV411,Medicare,CMS,2020,161.6,195.94,323.2
HI,OV412,Medicare,CMS,2020,161.6,195.94,323.2
HI,OV521,Medicare,CMS,2020,432.0,558.72,977.6
IA,ES001,Medicare,CMS,2020,840.8,1223.17,2273.6
IA,IM104,Medicare,CMS,2020,690.4,974.85,1852.8
IA,IM403,Medicare,CMS,2020,230.4,280.33,462.4
IA,IM407,Medicare,CMS,2020,196.8,239.59,395.2
IA,IM601,Medicare,CMS,2020,46.4,57.23,110.4
IA,IM606,Medicare,CMS,2020,57.6,79.54,134.4
IA,IM627,Medicare,CMS,2020,72.8,90.21,150.4
IA,LT105,Medicare,CMS,2020,7.2,8.73,16.0
IA,LT106,Medicare,CMS,2020,8.0,9.7,16.0
IA,LT211,Medicare,CMS,2020,2.4,2.91,4.8
IA,LT213,Medicare,CMS,2020,4.0,4.85,8.0
IA,LT219,Medicare,CMS,2020,7.2,8.73,16.0
IA,LT313,Medicare,CMS,2020,20.0,24.25,43.2
IA,LT315,Medicare,CMS,2020,12.0,14.55,25.6
IA,LT403,Medicare,CMS,2020,103.2,135.8,244.8
IA,OV116,Medicare,CMS,2020,79.2,101.85,187.2
IA,OV307,Medicare,CMS,2020,29.6,59.17,113.6
IA,OV411,Medicare,CMS,2020,161.6,277.42,515.2
IA,OV412,Medicare,CMS,2020,161.6,277.42,515.2
IA,OV521,Medicare,CMS,2020,514.4,697.43,1212.8
IA,PX207,Medicare,CMS,2020,7576.8,10166.57,19545.6
ID,ES001,Medicare,CMS,2020,568.8,896.28,2089.6
ID,IM104,Medicare,CMS,2020,479.2,649.9,1379.2
ID,IM211,Medicare,CMS,2020,1315.2,1755.7,3368.0
ID,IM403,Medicare,CMS,2020,192.0,234.74,387.2
ID,IM601,Medicare,CMS,2020,44.0,54.32,89.6
ID,IM606,Medicare,CMS,2020,52.8,64.02,107.2
ID,IM616,Medicare,CMS,2020,40.8,49.47,81.6
ID,IM627,Medicare,CMS,2020,58.4,71.78,120.0
ID,LT105,Medicare,CMS,2020,9.6,11.64,19.2
ID,LT106,Medicare,CMS,2020,10.4,12.61,20.8
ID,LT211,Medicare,CMS,2020,2.4,2.91,4.8
ID,LT213,Medicare,CMS,2020,4.0,4.85,8.0
ID,LT219,Medicare,CMS,2020,10.4,12.61,20.8
ID,LT313,Medicare,CMS,2020,28.0,33.95,56.0
ID,LT315,Medicare,CMS,2020,16.8,20.37,33.6
ID,LT403,Medicare,CMS,2020,107.2,136.77,249.6
ID,LT503,Medicare,CMS,2020,16.8,20.37,33.6
ID,OV116,Medicare,CMS,2020,87.2,109.61,203.2
ID,OV307,Medicare,CMS,2020,51.2,64.99,121.6
ID,OV521,Medicare,CMS,2020,551.2,710.04,1225.6
ID,PX207,Medicare,CMS,2020,10279.2,14697.44,26433.6
IL,ES001,Medicare,CMS,2020,607.2,982.61,2240.0
IL,IM104,Medicare,CMS,2020,452.0,943.81,2273.6
IL,IM211,Medicare,CMS,2020,837.6,1688.77,4323.2
IL,IM403,Medicare,CMS,2020,166.4,251.23,433.6
IL,IM407,Medicare,CMS,2020,140.8,172.66,345.6
IL,IM601,Medicare,CMS,2020,31.2,45.59,88.0
IL,IM606,Medicare,CMS,2020,44.0,69.84,118.4
IL,IM616,Medicare,CMS,2020,33.6,42.68,83.2
IL,IM627,Medicare,CMS,2020,48.8,62.08,121.6
IL,LT105,Medicare,CMS,2020,6.4,8.73,14.4
IL,LT106,Medicare,CMS,2020,5.6,6.79,11.2
IL,LT211,Medicare,CMS,2020,1.6,1.94,3.2
IL,LT213,Medicare,CMS,2020,3.2,3.88,6.4
IL,LT219,Medicare,CMS,2020,5.6,8.73,16.0
IL,LT313,Medicare,CMS,2020,19.2,23.28,38.4
IL,LT315,Medicare,CMS,2020,11.2,13.58,24.0
IL,LT403,Medicare,CMS,2020,86.4,114.46,203.2
IL,LT503,Medicare,CMS,2020,10.4,12.61,20.8
IL,OV116,Medicare,CMS,2020,64.8,83.42,150.4
IL,OV307,Medicare,CMS,2020,39.2,50.44,88.0
IL,OV411,Medicare,CMS,2020,146.4,187.21,360.0
IL,OV412,Medicare,CMS,2020,146.4,187.21,360.0
IL,OV521,Medicare,CMS,2020,473.6,638.26,1091.2
IL,PX207,Medicare,CMS,2020,6210.4,11264.61,27996.8
IN,ES001,Medicare,CMS,2020,714.4,1220.26,3014.4
IN,IM104,Medicare,CMS,2020,452.8,819.65,2088.0
IN,IM403,Medicare,CMS,2020,115.2,141.62,281.6
IN,IM601,Medicare,CMS,2020,22.4,28.13,62.4
IN,IM606,Medicare,CMS,2020,44.0,67.9,115.2
IN,IM616,Medicare,CMS,2020,22.4,28.13,68.8
IN,IM627,Medicare,CMS,2020,44.0,54.32,97.6
IN,LT105,Medicare,CMS,2020,3.2,3.88,9.6
IN,LT106,Medicare,CMS,2020,3.2,4.85,12.8
IN,LT211,Medicare,CMS,2020,1.6,1.94,3.2
IN,LT213,Medicare,CMS,2020,1.6,1.94,4.8
IN,LT219,Medicare,CMS,2020,3.2,3.88,9.6
IN,LT313,Medicare,CMS,2020,7.2,11.64,32.0
IN,LT315,Medicare,CMS,2020,4.8,6.79,19.2
IN,LT403,Medicare,CMS,2020,66.4,93.12,164.8
IN,OV116,Medicare,CMS,2020,49.6,69.84,116.8
IN,OV307,Medicare,CMS,2020,29.6,41.71,70.4
IN,OV411,Medicare,CMS,2020,132.0,175.57,387.2
IN,OV412,Medicare,CMS,2020,132.0,175.57,387.2
IN,OV521,Medicare,CMS,2020,412.0,528.65,982.4
IN,PX207,Medicare,CMS,2020,8750.4,17851.88,37769.6
KS,ES001,Medicare,CMS,2020,687.2,1060.21,1928.0
KS,IM104,Medicare,CMS,2020,438.4,602.37,1035.2
KS,IM211,Medicare,CMS,2020,591.2,752.72,2563.2
KS,IM403,Medicare,CMS,2020,125.6,161.02,355.2
KS,IM407,Medicare,CMS,2020,145.6,179.45,305.6
KS,IM601,Medicare,CMS,2020,27.2,38.8,78.4
KS,IM606,Medicare,CMS,2020,36.0,50.44,99.2
KS,IM616,Medicare,CMS,2020,26.4,38.8,73.6
KS,IM627,Medicare,CMS,2020,40.8,53.35,116.8
KS,LT105,Medicare,CMS,2020,7.2,11.64,22.4
KS,LT106,Medicare,CMS,2020,8.0,12.61,25.6
KS,LT211,Medicare,CMS,2020,2.4,4.85,8.0
KS,LT213,Medicare,CMS,2020,4.0,4.85,12.8
KS,LT219,Medicare,CMS,2020,9.6,12.61,20.8
KS,LT313,Medicare,CMS,2020,18.4,32.01,52.8
KS,LT315,Medicare,CMS,2020,11.2,19.4,41.6
KS,LT403,Medicare,CMS,2020,73.6,97.97,204.8
KS,LT503,Medicare,CMS,2020,20.0,24.25,40.0
KS,OV116,Medicare,CMS,2020,58.4,74.69,140.8
KS,OV307,Medicare,CMS,2020,34.4,46.56,88.0
KS,OV411,Medicare,CMS,2020,164.0,226.01,452.8
KS,OV412,Medicare,CMS,2020,164.0,226.01,452.8
KS,OV521,Medicare,CMS,2020,454.4,613.04,1224.0
KS,PX207,Medicare,CMS,2020,6803.2,9085.02,16723.2
KY,ES001,Medicare,CMS,2020,699.2,1050.51,2430.4
KY,IM104,Medicare,CMS,2020,357.6,565.51,1468.8
KY,IM403,Medicare,CMS,2020,106.4,136.77,257.6
KY,IM601,Medicare,CMS,2020,20.0,27.16,44.8
KY,IM606,Medicare,CMS,2020,25.6,33.95,72.0
KY,IM616,Medicare,CMS,2020,20.0,25.22,49.6
KY,IM627,Medicare,CMS,2020,29.6,40.74,89.6
KY,LT105,Medicare,CMS,2020,4.0,5.82,9.6
KY,LT106,Medicare,CMS,2020,4.0,7.76,12.8
KY,LT211,Medicare,CMS,2020,1.6,1.94,4.8
KY,LT213,Medicare,CMS,2020,2.4,2.91,6.4
KY,LT219,Medicare,CMS,2020,4.8,5.82,14.4
KY,LT313,Medicare,CMS,2020,9.6,19.4,33.6
KY,LT315,Medicare,CMS,2020,7.2,11.64,19.2
KY,LT403,Medicare,CMS,2020,56.8,75.66,145.6
KY,LT503,Medicare,CMS,2020,5.6,12.61,30.4
KY,OV116,Medicare,CMS,2020,44.0,58.2,110.4
KY,OV307,Medicare,CMS,2020,26.4,35.89,62.4
KY,OV411,Medicare,CMS,2020,112.8,163.93,360.0
KY,OV412,Medicare,CMS,2020,112.8,163.93,360.0
KY,OV521,Medicare,CMS,2020,382.4,503.43,920.0
KY,PX207,Medicare,CMS,2020,3588.0,9579.72,26116.8
LA,ES001,Medicare,CMS,2020,361.6,514.1,1065.6
LA,IM104,Medicare,CMS,2020,232.0,374.42,753.6
LA,IM211,Medicare,CMS,2020,632.8,1046.63,2129.6
LA,IM403,Medicare,CMS,2020,140.8,178.48,313.6
LA,IM407,Medicare,CMS,2020,134.4,186.24,356.8
LA,IM601,Medicare,CMS,2020,27.2,37.83,65.6
LA,IM606,Medicare,CMS,2020,35.2,43.65,75.2
LA,IM616,Medicare,CMS,2020,27.2,35.89,59.2
LA,IM627,Medicare,CMS,2020,38.4,48.5,84.8
LA,LT105,Medicare,CMS,2020,8.0,11.64,24.0
LA,LT106,Medicare,CMS,2020,8.8,12.61,24.0
LA,LT211,Medicare,CMS,2020,2.4,2.91,4.8
LA,LT213,Medicare,CMS,2020,4.0,4.85,8.0
LA,LT219,Medicare,CMS,2020,8.0,9.7,22.4
LA,LT313,Medicare,CMS,2020,20.8,30.07,52.8
LA,LT315,Medicare,CMS,2020,13.6,21.34,40.0
LA,LT403,Medicare,CMS,2020,71.2,97.97,171.2
LA,LT503,Medicare,CMS,2020,13.6,17.46,33.6
LA,OV116,Medicare,CMS,2020,52.0,70.81,124.8
LA,OV307,Medicare,CMS,2020,30.4,41.71,72.0
LA,OV411,Medicare,CMS,2020,148.0,182.36,328.0
LA,OV412,Medicare,CMS,2020,148.0,182.36,328.0
LA,OV521,Medicare,CMS,2020,465.6,600.43,1048.0
LA,PX207,Medicare,CMS,2020,6652.0,11122.99,22035.2
MA,ES001,Medicare,CMS,2020,346.4,508.28,1427.2
MA,IM104,Medicare,CMS,2020,243.2,338.53,827.2
MA,IM211,Medicare,CMS,2020,524.8,1035.96,2052.8
MA,IM403,Medicare,CMS,2020,176.8,292.94,516.8
MA,IM407,Medicare,CMS,2020,172.0,234.74,512.0
MA,IM601,Medicare,CMS,2020,24.8,48.5,102.4
MA,IM606,Medicare,CMS,2020,30.4,48.5,134.4
MA,IM616,Medicare,CMS,2020,29.6,45.59,105.6
MA,IM627,Medicare,CMS,2020,36.0,61.11,147.2
MA,LT105,Medicare,CMS,2020,5.6,9.7,28.8
MA,LT106,Medicare,CMS,2020,6.4,10.67,20.8
MA,LT211,Medicare,CMS,2020,2.4,2.91,6.4
MA,LT213,Medicare,CMS,2020,3.2,4.85,9.6
MA,LT219,Medicare,CMS,2020,6.4,10.67,22.4
MA,LT313,Medicare,CMS,2020,16.0,23.28,62.4
MA,LT315,Medicare,CMS,2020,9.6,13.58,27.2
MA,LT403,Medicare,CMS,2020,89.6,153.26,329.6
MA,LT503,Medicare,CMS,2020,12.8,18.43,40.0
MA,OV116,Medicare,CMS,2020,68.0,121.25,233.6
MA,OV307,Medicare,CMS,2020,36.8,57.23,136.0
MA,OV411,Medicare,CMS,2020,180.0,341.44,592.0
MA,OV412,Medicare,CMS,2020,180.0,341.44,592.0
MA,OV521,Medicare,CMS,2020,511.2,725.56,1452.8
MA,PX207,Medicare,CMS,2020,6355.2,9271.26,20572.8
MD,ES001,Medicare,CMS,2020,572.0,915.68,2145.6
MD,IM104,Medicare,CMS,2020,106.4,171.69,488.0
MD,IM403,Medicare,CMS,2020,112.8,170.72,368.0
MD,IM407,Medicare,CMS,2020,118.4,185.27,400.0
MD,IM601,Medicare,CMS,2020,24.8,38.8,84.8
MD,IM606,Medicare,CMS,2020,30.4,43.65,92.8
MD,IM616,Medicare,CMS,2020,22.4,31.04,68.8
MD,IM627,Medicare,CMS,2020,36.0,56.26,112.0
MD,LT105,Medicare,CMS,2020,5.6,7.76,17.6
MD,LT106,Medicare,CMS,2020,5.6,8.73,17.6
MD,LT211,Medicare,CMS,2020,1.6,1.94,4.8
MD,LT213,Medicare,CMS,2020,2.4,3.88,8.0
MD,LT219,Medicare,CMS,2020,5.6,7.76,16.0
MD,LT313,Medicare,CMS,2020,16.0,23.28,51.2
MD,LT315,Medicare,CMS,2020,8.8,13.58,28.8
MD,LT403,Medicare,CMS,2020,69.6,100.88,203.2
MD,LT503,Medicare,CMS,2020,12.8,18.43,51.2
MD,OV116,Medicare,CMS,2020,53.6,76.63,153.6
MD,OV307,Medicare,CMS,2020,28.8,42.68,88.0
MD,OV411,Medicare,CMS,2020,94.4,165.87,395.2
MD,OV412,Medicare,CMS,2020,94.4,165.87,395.2
MD,OV521,Medicare,CMS,2020,405.6,540.29,1035.2
MD,PX207,Medicare,CMS,2020,5101.6,9906.61,20091.2
ME,ES001,Medicare,CMS,2020,612.0,914.71,1923.2
ME,IM104,Medicare,CMS,2020,680.8,1024.32,2123.2
ME,IM403,Medicare,CMS,2020,103.2,158.11,353.6
ME,IM407,Medicare,CMS,2020,96.0,135.8,312.0
ME,IM601,Medicare,CMS,2020,23.2,34.92,75.2
